strategy,yield_split,breakeven_fee_day,joint_viable,rank
protocol_lp,0.73,0.004918,1.0,1
perp_dynamic_lp,,0.00526,,2
protocol_lp,0.68,0.00526,1.0,3
plain_lp,,0.005652,,4
protocol_lp,0.63,0.005701,1.0,5
protocol_lp,0.78,0.005847,1.0,6
perp_fixed_lp,,0.005945,,7
protocol_lp,0.58,0.00619,1.0,8
protocol_lp,0.53,0.006728,1.0,9
protocol_lp,0.48,0.007462,1.0,10
protocol_lp,0.03,,0.0,11
protocol_lp,0.08,,0.0,12
protocol_lp,0.13,,0.0,13
protocol_lp,0.18,,0.0,14
protocol_lp,0.23,,0.0,15
protocol_lp,0.28,,0.0,16
protocol_lp,0.33,,0.0,17
protocol_lp,0.38,,0.0,18
protocol_lp,0.43,,0.0,19
