scenario,representative_level,yield_split,lp_mean_%,rt_mean_%,joint_viable
low_fee_0.15pct_day,low,0.15,-1.6937159026215898,0.00027152238901942394,False
low_fee_0.15pct_day,medium,0.2,-1.7588683925171256,0.00037870449188922423,False
low_fee_0.15pct_day,high,0.4,-1.8584712658271267,5.9051535019205826e-05,False
mid_fee_0.23pct_day,low,0.05,-1.3903262569458843,0.00034860698083088445,False
mid_fee_0.23pct_day,medium,0.25,-1.4130438870211905,0.00013212899722616524,False
mid_fee_0.23pct_day,high,0.2,-1.5080421515722329,-1.09409945768013e-05,False
high_fee_0.35pct_day,low,0.3,-0.7711385572599598,0.00022987750558503233,False
high_fee_0.35pct_day,medium,0.05,-0.8498270972717612,-6.745742155494559e-05,False
high_fee_0.35pct_day,high,0.15,-0.9212654638724369,1.8089450521180945e-05,False
high_fee_0.42pct_day,low,0.2,-0.34227646409742174,0.00034493350208282064,False
high_fee_0.42pct_day,medium,0.15,-0.4803298098304905,0.00021678824046467097,False
high_fee_0.42pct_day,high,0.3,-0.5317244595993842,0.00010858254513585896,False
