scenario,rep_level,strategy,mean_%,p5_%,breakeven_bps_week,rt_mean_%
low_fee_0.15pct_day,low,protocol_lp,-1.924727707579692,-9.402969362892351,-192.47277075796922,0.0021123687784152
low_fee_0.15pct_day,low,perp_fixed_lp,-1.9264473211523792,-9.592145802752558,-192.64473211523793,
low_fee_0.15pct_day,low,perp_dynamic_lp,-1.9655992704051224,-7.147955418632989,-196.55992704051224,
low_fee_0.15pct_day,low,plain_lp,-1.611167837316514,-13.215479183269396,-161.1167837316514,
low_fee_0.15pct_day,medium,protocol_lp,-2.123145951303527,-10.37447934230672,-212.3145951303527,0.0021657312205435
low_fee_0.15pct_day,medium,perp_fixed_lp,-1.9264473211523792,-9.592145802752558,-192.64473211523793,
low_fee_0.15pct_day,medium,perp_dynamic_lp,-1.9655992704051224,-7.147955418632989,-196.55992704051224,
low_fee_0.15pct_day,medium,plain_lp,-1.611167837316514,-13.215479183269396,-161.1167837316514,
low_fee_0.15pct_day,high,protocol_lp,-2.146028566038442,-10.15107720547769,-214.6028566038442,0.0018820761853641
low_fee_0.15pct_day,high,perp_fixed_lp,-1.9264473211523792,-9.592145802752558,-192.64473211523793,
low_fee_0.15pct_day,high,perp_dynamic_lp,-1.9655992704051224,-7.147955418632989,-196.55992704051224,
low_fee_0.15pct_day,high,plain_lp,-1.611167837316514,-13.215479183269396,-161.1167837316514,
mid_fee_0.23pct_day,low,protocol_lp,-1.6939097216250187,-10.060171476375466,-169.39097216250187,0.002181221215461
mid_fee_0.23pct_day,low,perp_fixed_lp,-1.348202191881,-9.11116008488234,-134.8202191881,
mid_fee_0.23pct_day,low,perp_dynamic_lp,-1.6242143016105623,-6.563295673369051,-162.42143016105624,
mid_fee_0.23pct_day,low,plain_lp,-1.0369517945475204,-12.53328568282984,-103.69517945475204,
mid_fee_0.23pct_day,medium,protocol_lp,-1.8220320739058893,-10.049312292252006,-182.20320739058891,0.0017000331005168
mid_fee_0.23pct_day,medium,perp_fixed_lp,-1.348202191881,-9.11116008488234,-134.8202191881,
mid_fee_0.23pct_day,medium,perp_dynamic_lp,-1.6242143016105623,-6.563295673369051,-162.42143016105624,
mid_fee_0.23pct_day,medium,plain_lp,-1.0369517945475204,-12.53328568282984,-103.69517945475204,
mid_fee_0.23pct_day,high,protocol_lp,-1.8919146888848049,-10.11873382486741,-189.19146888848047,0.0013264142914676
mid_fee_0.23pct_day,high,perp_fixed_lp,-1.348202191881,-9.11116008488234,-134.8202191881,
mid_fee_0.23pct_day,high,perp_dynamic_lp,-1.6242143016105623,-6.563295673369051,-162.42143016105624,
mid_fee_0.23pct_day,high,plain_lp,-1.0369517945475204,-12.53328568282984,-103.69517945475204,
high_fee_0.35pct_day,low,protocol_lp,-1.086361379923881,-9.173353728528982,-108.63613799238809,0.0021492564120588
high_fee_0.35pct_day,low,perp_fixed_lp,-1.0545202497554174,-9.258829980728633,-105.45202497554173,
high_fee_0.35pct_day,low,perp_dynamic_lp,-0.9556139001567024,-6.231802179717483,-95.56139001567024,
high_fee_0.35pct_day,low,plain_lp,-0.8142105044451557,-13.190356362828961,-81.42105044451557,
high_fee_0.35pct_day,medium,protocol_lp,-1.1973906074679912,-9.43172378685795,-119.73906074679913,0.0020308708732399
high_fee_0.35pct_day,medium,perp_fixed_lp,-1.0545202497554174,-9.258829980728633,-105.45202497554173,
high_fee_0.35pct_day,medium,perp_dynamic_lp,-0.9556139001567024,-6.231802179717483,-95.56139001567024,
high_fee_0.35pct_day,medium,plain_lp,-0.8142105044451557,-13.190356362828961,-81.42105044451557,
high_fee_0.35pct_day,high,protocol_lp,-1.301746496056721,-10.396429486382674,-130.1746496056721,0.0016513621743912
high_fee_0.35pct_day,high,perp_fixed_lp,-1.0545202497554174,-9.258829980728633,-105.45202497554173,
high_fee_0.35pct_day,high,perp_dynamic_lp,-0.9556139001567024,-6.231802179717483,-95.56139001567024,
high_fee_0.35pct_day,high,plain_lp,-0.8142105044451557,-13.190356362828961,-81.42105044451557,
