alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,sim_lp_mean_%,sim_rt_mean_%,sim_rt_p5_%,bt_lp_mean_%,bt_rt_mean_%,bt_rt_p5_%,bt_weeks,bt_strict_feasible,bt_robust_feasible,sim_bt_lp_gap_pp,sim_bt_rt_gap_pp
0.1,0.4,0.1,0.1,0.15,0.6,0.7334072948023758,0.009205396214588728,-0.03634787629306443,5.613689798263591,0.0010269621933115054,-0.02722176686750816,99,True,True,4.880282503461215,-0.008178434021277223
0.1,0.2,0.2,0.2,0.15,0.7,1.167811035029909,0.008219201763690634,-0.030606247039512972,5.715258427485037,0.0006166726875514293,-0.027766125929941307,99,True,True,4.547447392455128,-0.0076025290761392045
0.1,0.4,0.2,0.1,0.15,0.6,1.3930295534822126,0.007112860671932644,-0.017658988707924744,5.735296889837271,0.0005354294560490165,-0.02790743591951257,99,True,True,4.342267336355059,-0.006577431215883627
0.1,0.4,0.1,0.2,0.15,0.6,0.9952490136849613,0.005215193549654841,-0.038537853521322156,5.735296889837271,0.0005354294560490165,-0.02790743591951257,99,True,True,4.74004787615231,-0.004679764093605824
0.1,0.2,0.2,0.2,0.1,0.8,1.039545799214239,0.0021407388847675176,-0.026936640163273823,5.977758427485037,-0.00045944714370136394,-0.02929132226940957,99,False,False,4.938212628270798,-0.0026001860284688818
0.1,0.3,0.1,0.2,0.1,0.8,1.2021845362590358,0.010906562493918486,-0.049649197665268596,5.987777658661154,-0.0005001101504396049,-0.029362034833655386,99,False,False,4.785593122402119,-0.01140667264435809
0.1,0.3,0.2,0.2,0.1,0.8,1.0535538280149654,0.00468587825153955,-0.03912947333200349,5.987777658661154,-0.0005001101504396049,-0.029362034833655386,99,False,False,4.934223830646189,-0.005185988401979155
0.1,0.2,0.1,0.1,0.05,0.6,0.7706631681424291,0.0041280780613939215,-0.02039053254565904,6.117301335472904,-0.0010386780328332957,-0.030121478044802984,99,False,False,5.346638167330475,-0.005166756094227217
0.1,0.3,0.2,0.2,0.05,0.7,1.2165264497882622,0.008387694636673855,-0.034300303469916436,6.250277658661155,-0.0015773904894517922,-0.030888687216449648,99,False,False,5.033751208872893,-0.009965085126125647
0.1,0.3,0.3,0.2,0.05,0.7,1.164883502418149,0.005103483390488969,-0.04231974995144169,6.250277658661155,-0.0015773904894517922,-0.030888687216449648,99,False,False,5.085394156243005,-0.006680873879940761
0.1,0.3,0.1,0.2,0.05,0.8,1.0686067139511843,0.009091405508716519,-0.040598183234573336,6.250277658661155,-0.0015773904894517922,-0.030888687216449648,99,False,False,5.18167094470997,-0.01066879599816831
0.1,0.4,0.2,0.2,0.05,0.7,1.25379416229414,0.004561090745492238,-0.03669478969219154,6.260296889837271,-0.0016180973580691464,-0.030959461127681567,99,False,False,5.006502727543131,-0.006179188103561384
0.1,0.4,0.3,0.2,0.05,0.7,1.1577486636553387,0.00464724520757614,-0.024730378673895277,6.260296889837271,-0.0016180973580691464,-0.030959461127681567,99,False,False,5.102548226181932,-0.006265342565645286
0.1,0.4,0.2,0.2,0.05,0.8,1.1280887268626703,0.005418465014863835,-0.015738798734950307,6.260296889837271,-0.0016180973580691464,-0.030959461127681567,99,False,False,5.1322081629746,-0.007036562372932981
0.1,0.4,0.3,0.2,0.05,0.8,1.0336209869739446,0.0043604168082435075,-0.029509125243346708,6.260296889837271,-0.0016180973580691464,-0.030959461127681567,99,False,False,5.2266759028633265,-0.005978514166312654
